1 | 1 | 5

2 | 1 | 6

3 | 1 | 7

4 | 1 | 8

5 | 1 | 12

6 | 1 | 13

7 | 1 | 16

8 | 1 | 18

9 | 1 | 20

10 | 1 | 1

11 | 2 | 5

12 | 2 | 6

13 | 2 | 7

14 | 2 | 8

15 | 2 | 10

16 | 2 | 15

17 | 2 | 18

18 | 3 | 7

19 | 3 | 8

20 | 3 | 9

21 | 3 | 10

22 | 3 | 11

23 | 3 | 12

24 | 4 | 8

25 | 4 | 9

26 | 4 | 10

27 | 4 | 11

28 | 4 | 12

29 | 5 | 1

30 | 5 | 2

31 | 5 | 3

32 | 5 | 4

33 | 5 | 5

34 | 5 | 6

35 | 6 | 2

36 | 6 | 6

37 | 6 | 7

38 | 6 | 9

39 | 6 | 10

40 | 6 | 15

41 | 7 | 3

42 | 7 | 13

43 | 7 | 17

44 | 7 | 20

45 | 8 | 1

46 | 8 | 5

47 | 8 | 16

48 | 8 | 18
